class, text
"pos","Il faut en parallèle renforcer le rôle des inspections générale s qui devront rester centrées à Rabat et revoir les relations avec l'autorité régionale qui pose des fois des problèmes aux chefs de services...il faudra aussi permettre aux délégation s régionale s. de participer. à l'élaboration du budget des ministères..sans ça. ce sera du simple blabla.."
"pos","la décentralisation est déclaré depuis un quart de la generation et jusqu' aujourd'hui nul n'est pratiqué pourquoi je repond par la manque des experts pour deleberer les regles et la legislation convenable dans notre pays on aime dormir bcp sans cesse et mandater sans travail i"
"pos","Je voudrai savoir Mr le secrétaire général tu étais exclu de la visite de Mohamed 6 à casa lors de ton mendat Maintenant tu es ministre vraiment c est de charabia"
"pos","cet homme qui vient representer le SG de l'ONU au sahara connait tres bien et le dosssier et la position du Maroc et la position de ses enemis ,donc il est venu a rabat pour entendre les marocains lui repeter leur attachement a leur integrite territoriale et donc si lui il vient les mains vides ca veut seulement dire qu'il est entrain d'executer un plan de vol ordinaire : visite du maroc , visite des camps de tindouf , visite d'alger et de nouakchot ,ce circuit a deja ete fait par tous ses predecesseurs et le resultat est tjrs nul."
"pos","D'abord il faut une loi pour justifier l'origine de à fortune colossale des représentants nous pauvre peuple . Nous payons tout tout tout villas voitures de luxe déplacement essence.........0 Ut  payo"
"pos","À commencer d abord par passer À tout les parlementaires un petit test De savoir lire et écrire Ou leur proposer un remise à niveau Avant de s'attaquer au tremblement politique"
"pos","Commencez d abord par supprimer les retraites les voitures de luxe es primes de transport enfin tous les extras nous sommes un pays Pauvre"
"neg","SI ON VEUX QUE LE PROBLEME DU SAHARA SOIT REGLE IL FAUT ELIMINER LES RESPONSABLES ALGERIENS DE TOUTE DISCUTION ET JE NE VOIS L INTERET A CE QUE CE NX ENVOYE DE L ONU AILLE EN ALGERIE ET EN MAURITANIE ... PARCE QI ILS SONT IMPLIQUES JUSQU AU COU DANS CETTE AFFAIRE ..."
"pos","Ton t'es rêves petit mohsé As tu visité une des viles du sud? Le Sahara est au maroc  Vive le Sahara marocain Vive le maroc"
"neg","Je suis catalan et et moi je suis kurd nou demandons à l'Algérie de nous soutenir comme ce qu'elle fait avec les polis Zéro depuis 40 ans"
"pos","leurs chaussures toute neuves,sont à côté d'eux de peur de ne pas les retrouver, libérer la palestine,ki,ki,ils n'ont même pas libéré les espaces publics marocains occupés partout au maroc, tous les trottoirs sont occupés par les marchands installés et ambulants,jour et nuit, les barbus marocains veulent libérer la palestine et oublient qu'ils doivent libérer les trottoirs pour permettre aux piétons de ne pas partager les chaussées avec les voitures, la libération de la palestine est une affaire des palestiniens, la libération des espaces publics occupés illégalement doit être une tâche des barbus marocains au gouvernement"
"pos","Le pays à besoin de 2 à 3 partis politique fort est responsable comme les pays démocratiques mais le makhzen fera tout pour déstabiliser la démocratie pour qu’il puisse exister s’il faut faire 100 partis il le fera comme avec 36 partis actuellement et 40 ministres pour 33 millions d’habitants un seule parti pour 1.5 milliards de chinois avec pas plus de 15 ministres s’est là où est un problème chez nous"
"pos","Je continuerais à voter PSU ou tout autre parti qui prône la MONARCHIE PARLEMENTAIRE"
"neg","un partie homogène et qui se développe jour après jour, c est tout a fait normal qu il aura des ennemis.  il faut travailler et travailler et bon courage"
"pos","developpement et resonnement logique mais cecei est vrai s il s agisait d un discour du roi de suede ou du 1er ministre norvegien car eux s il disent quelques chose l application suit, ,,, pas chez nous au maroc il aura beau raconte le mot jeunesse mille fois , ce que je comprendrai de ca c est than mou sarfa9 babah li jawa3 kalbou ytab3ou voila l esenciel du khitab et arreter de nous revenir a chaque jour avec cela, les marocain sont inteligent et savent lire entre les lignes."
"pos","Bon début de semaine pour tt le monde je vous conseille vivement de garder vos tête positive et d'oublier ce monde de politique ca ne sert absolument à rien de se lamenter a chaque reprise chose qui j'ai pu surmonté difficillement en Europe chère compatriotes croyez a vous compétence vous ne serrais pas déçues. There is always a chance called tomorrow"
"pos","Je ne comprends ces égoïstes. des gens qui ne pensent qu'à leurs propore intérêt. si Omar (raa) était là , il aurait donner l'exemple. ...Normalement, les parlementaires doivent payer les impôts, avoir des remboursements de frais de déplacement et logement et aucune retraite....mais bon.."
"pos","sans honte les pourris du royaume demandent a ce qu'on paye leurs pensions !!! Mais c'est quoi ce délire ?  Je demande urgemment a notre cher Roi qu'il dessous ce parlement des pourris et que leur argent soit exploite dans la fondation Med 6."
"pos","les parlementaire doivent avoir une retraite a 65 ans,,et doivent travaille ds in autre métier au moins 10 ans,ou travaille comme parlementaire au moins 12 ans le salaire de parlementaire ne doit pas depasse le double smig,les prime doivent etre taxes 50% je croit que le people n accepte pas que la retraite des parlementaire doit etre paye par la caisse des travailleur des, il faut que les parlementaire passe une loi pour ne pas envoyez l argent de people a l etranger et repatrier l argent depose ds les bank international combine d argent et a l etranger des marocain responsible et parlementaire,discute ca au parlement et de la en peut parle de retraite"
"pos","BIZARRE. !!!! DE QUELLE PENSION DE. RETRAITE VOUS ÊTES ENTRAIN DE PARLER SI C'EST POUR UN SOIT DISANT PARLEMENTAIRE APPAREMMENT. RICHE ET QUI ÉTAIT ENTRAIN DE DORMIR DANS SON FAUTEUIL DURANT CINQ ANS  VRAIMENT A QUI DOIT REVENIR CET ARGENT ?  A CETTE BANDE OU AUX DIPLÔMES CHÔMEURS"
"pos","La solution est simple vendre l’institution Marocaine à la France. Le peuple sera mieux traité et on aura plus besoin de palais ni pr le roi ni pr les parlementaires. donc une réduction des coûts inutiles et un paiement d'une partie de nos dettes et peut etre on aura même une partie des ressources naturelles et un peu de poisson pr nous nourrir."
"pos","recevoir un salaire de retraite dés le départ méne automatiquement à la faillite. de quel droit ils acceptent la retraite alors qu'ils n'ont pas l'âge légale de cette retraite. Le gouvernement doit et a le devoir de refuser que les parlementaire touche au budget des marocains. si les parlementaire décident de recevoir le salaire de retraite sans atteindre l'âge légale c'est à eux de trouver solution à ce qu'ils ont planifier sans toucher l'argent du peuple."
"pos","Simple question est ce que les parlementaires dans le monde ont une retraite? Le boulot d'un elu doit être gratuit, volontariste doit être sa participation"
"pos","pour ce député, le revenu de sa retraite et celui de ces collègues, ne sont pas plus que les impots versés par les pauvres citoyens"
"pos","On veut savoir qui sont ces députés pauvres? En plus le droit à la pension de retraite pour les députés n’est pas un droit acquis surtout quand il s’agit d’entoucher Cette pension avant l’âge l’egal.n’oublions pas que cette farce était inventée par Hassan 2 pour faire plaisir à ces amis en détriment du peuple."
"pos","Elmakhzen a réussi à faire croire au peuple de 70% d'analphabètes que Benkirane est le responsable de leurs soucis pour arriver comme le libérateur de peuple et virer Benkirane et accuser les fantômes et les fonctionnaires !!!! Réfléchissez un peu qui détient les richesses du pays pourquoi l'OCP à ce nom ? Au Maroc y a des chérifiens et des non chérifiens !!!!"
"pos","Si Benkirane obtient le troisième mandat du secrétariat général du parti, il le passera sur une chaise roulante."
"pos","Mr Benkirane autant qu'il est président de gouvernement a touché ma pension de retraite malgré elle faible devant les prix élevés eau électricité maladie chronique et un ta de problème s.jespere que ma pension doit rester intouchable après avoir servi ,33 ans."
"pos","je réponds aux milices qui critiquent Benkirane betement alors que la majorité des citoyens reconnaissent qu'il est le meilleur chef du gouvernement qu'a connu le Maroc Il n'a pas volé ni détourner il a hérité un corps atteint de toutes les maladies la corruption la majorité des administrations mals gérées et c'est grace à Benkirane que le parti arrive à ce stade"
"neg","bravo les jeunes rniste vous éte les meilleures"
"neg","heureusement qu'on a un Roi qui pense à l'avenir du pays. Que Dieu préserve notre Roi M6"
"neg","bravo les jeunes rniste vous éte les meilleures"
"neg","heureusement qu'on a un Roi qui pense à l'avenir du pays. Que Dieu préserve notre Roi M6"
"pos","e modéle de développement Marocains n'est pas cnetrée sur l'étre humain c'est pour ca que les indicateurs de devloppement humains sont trés faibles 123 ieme place méme des pays africains qui recoivent les aides marocains sont mieux classés que nous ,  toute politique ou modéle de développement qui ne'est pas centré sur l'étre humain ( éradication de la pauvreté , enseignement de qualité gratuit et obligatoires pour tous les citoyens jusqu'a l'age adulte ,  et service de santé de qualité et accessible a a tous ) est voué a l'échec . les inégalités au Maroc sont criants certains vivent dans des conditions de moyen age et ceci parcequ'il ny'a pas de justice sociales les plus riches non seulement ils sont trés peu taxé mais en plus ils pratiquent la fraude fiscale et payent presque rien a l'état en plus de réformer la caisse de la compensation en la mettant au service des plus pauvres uniquement l'état doit taxer beaucoup plus les hauts salaires , réduire les dépenses inutiles"
"pos","votre système \"makboul\" ou \"marfoud\" est très hasardeux et ne répond pas au souhait des lecteurs. Quand on appuie sur \"makboul\" ou \"marfoud\" , il arrive que la note augmente ou descend dans les deux cas et ceci n'est pas normal. On dirait que les résultats sont dirigés et ne traduisent pas le vote des lecteurs. merci de corriger votre système car le nombre de \"makboul\" ou \"marfoud\" ne traduit vraiment pas le vote des électeurs."
"pos","Toujours les mêmes discours mais il y a rien qui change, je ne crois plus"
"pos","discour de la dictée' des conseillers il faut plus que sa pour les marocains depuis 45ans regardez le pays comment et devenu et ce n'est pas fini"
"pos","Quand on voit cette justice qui encastrent ces jeunes de hiceima,,, quand le peuble et le roi tegadenr de leur yeyx que 90% de ces parlementaires sont la pour leur interets,,, quand le roi realiseque ces messages ne song oas oris en consideration ,,,, le peuble perd de l espoir et lah yejib chi Immigration au canada ,,,,  J attend une réponse a mon dossier pour quitter mon Maroc"
"pos","avec ts mes respects a ces differents professeur de droit constitutionnel qui ne cessent de nous donner des lecons a l instar des prof etrangers sur des des chaines de leur pays  maheureusement ts ces prof etrangers adherent ades partis politiques et votent ds leur pays contrairement aux intelectuels marocains qui ne font de la politique et ne votent meme pas arretez vos critiques et des interpretations contradictoiresb  a une certaine epoque les etudiants ne cessent de discuter av leurs prof hadi messouak dr lahbabi allah irham houm presque ts les prof honoraient par leuradhesion aux partis politiques"
"pos","Je propose de couper les subventions aux partis politiques réalisant moins de 10% des suffrages. Que les meilleurs restent et gagnent"
"pos","on entend parler d un taux de chomage au maroc de 9 pour cent c est du mensonge moi a mon refuge c est pas une maison j ai 04 fils sont tous des licenciés et master sont tous au chomage donc messieurs je pense qu on au minimum 30 a 40 pour cent de chomeurs au maroc des jeunes porteur de diplome sans parler des jeunes et bien sur sont nombreux qui sont pas scolarisés"
"pos","Un séisme politique risque de se transformer en onde de choc qui est susceptible d'emporter tout sur sa trajectoire y compris les vulnérables. Ce dont on a besoin c'est de voir les vrais responsables de cet agité ment qui a secoué notre pays traduit en judtice et que l'argent mis dans leurs poches soit distribué aux nécessiteux. Les rifains en sont un cas."
"pos","le citoyen naif que je suis s'attendait ace que notre roi bien aimé nous parle d'une réduction drastique du budget du palais et celui des haut fonctionaires et commis de l'état en plus de la taxation des hauts salaires dans le privé et les produits de luxe pour plus de justice sociale et aider les 20% de Marocains qui vivent en dessous du seuil de la pauvreté hélas ... Si j'ai bien compris on va encore créer un nième conseil, celui des jeunes en plus des ...conseils des parlementaires, chambre des conseiller, cours des comptes, économique et sociale, ....) en plus du gouvernement de l'ombre tous payé par le contribuable bref une prolifération de conseils d'attardé mentaux qui vont purger le budget de l'état avec des traitements et des avantages qui n'éxistent nul part au monde comme la retraite des parlementaires  mais dont l'efficacité laisse a désirer . C'est quoi le but de tous les conseils précédents ? la politique de la fuite en avant ne va mener nul part  l"
"pos","Sur un panneau à Dubai il était écrit \"l'avenir n'attend pas les hésitants \" c'était un message de l'émir de Dubai , la j'ai compris qu'il y avait quelqu'un à la tête de l'état qui a une vision, en me promenant dans cette belle ville j'ai pu constater cela. On me promenant à Casablanca , j'ai vu des hordes de mendiants, des criminels, des taxis, des bus dans un état lamentable, j'ai vu des conducteurs de voitures qui se conduisent comme des cowboys ,j'ai compris qu'il y avait des fantômes à la tête de l'état."
"pos","Les rohinghats don't Des musulman non arabes I s agit Des arabes de la palestines tu vas trouver Des manifestations Dan's toutes Les villes Des pays arabes pour Les rohinghats que dieu Les binessent amine"
"pos","Si le Maroc est convaincu de la Marocanité du territoire Sahraoui,refuser de négocier avec le Polisario,demander à l'envoyé spécial de l'ONU d'exclure le Polisario des négociations et que seul l'Algérie est responsable de ce problème."
"pos","Il faut être ferme avec l'autre partie,c'est le Maroc qui est en position de force sur le terrain,il y'a 42 an s que le sahara vit dans la paix,il y'a eu des villes qui ont poussé dans le désert, des entreprises, une agriculture moderne,une population qui profite du progrés plus que le reste du Maroc, nous n'allons pas livrer le Sahara à une bonde de mafieux qui ont piller les richesses du peuple frère algérien ,alors que ce pays est le plus riche en Afrique! Il y'a une stabilité dans la région grâce à la gestion sécuritaire par le Maroc,sinon l’Algérie serait elle même menacée par le terrorisme qui existe déjà sur les autres frontières du pays"
"pos","Il faut que le Maroc de refuser les négociations sans la participation directe de la Algérie sans elle y aura rien"
"neg","Réponse pour le nouveau 13 Oui vous n avez tort parce que le Maroc est à l est de l Algerie tout juste à la frontière de la Libye. Quel raisonnement spectaculaire???"
"neg","tu es visiblement un séparatiste le maroc restera uni ni separation du sahara, ni separation du rif les marocains ont compris ceux qui recoivent l'argent de l'algerie pour semer la zizani et la fitna au maroc n'ont pas leur place parmi nous vive le maroc uni vive les vrais marocains de coeur vive notre roi"
"neg","Comme l’Algérie est attaché au référendum,elle n’a qu’à l’appliquer d’abord sur la population séquestrée à Tindouf en leur proposant le choix de rentrer au Maroc ou de rester à Tindouf  One verra le résultat"
"pos","mais vous avez oublie de mensionner a qui cette demande se formule.  Je pense a L'onu. que pensez vous?"
"neg","vive le roi le maroc de l'avant toujours vive le maroc ceuwx qui veulent servir restent ceux qui veulent se servir dégagent"
"pos","Discours après discours, le Roi se répète . Maintenant, il faut de l'action car c'est lui qui a tous les pouvoirs"
"pos","Rien ne va changer, on va seulement changer des nom des personnes. Tant que l.éducation n est pas revu,, rien ne va changer"
"pos","plus ça change plus c\"est même chose"
"pos","On se croirait dans une cour de récréation !! Non non ce sont les autres !!!!"
"pos","Qui détient le pouvoir au Maroc? Séisme politique veut dire éloignement de ceux qui ont le pouvoir!. Qui désigne les gouverneurs et ministres? . J'espère que le roi se pose ces questions avant d'entamer des mesures qui vont nous toucher en premiers. Pour information, Ça fait 60 ans qu'on parle de la même chose."
"neg","Notre roi bien aimé dit que le modèle de développement ne marche plus il dit aussi que tout le monde connait les priorités et les problémes qui sont l'éducation et la santé de qualité pour tous les citoyens mais alors pourquoi ne pas les doter des ressources nécéssaires ? pourquoi ne pas réduire les inégalités avec des politiques efficaces (taxer plus les hauts revenus et la fortune) ? pourquoi ne pas réduire le budget du palais et supprimer les nombreuses institutions inutiles ? chambre de conseillers , conseil economique et social et méme la cour des comptes qui n'est pas efficace ? ... pourquoi ne pas réformer la caisse de compensation depuis longtemps? pourquoi ne pas venir en aide aux 15 % de marocains vivant sous le seuil de la pauvreté ? alors qu'on dépense l'argent sans compter en afrique hopitaux , dons,... i"
"pos","La morale n' aquelque chance d' advenir, particulierement en politique, que si l' on travaille a creer les moyens institutionnels d' une politique de la morale.La verite officielle de l' officiel, le culte du service public et du devouement au bien commun ne resistent pas a la critique du soupcon qui decouvre partout la corruption, l' arrivisme le clientelisme ou, dans le meilleur des cas, l' interet prive a servir le bien public. Pierre Bourdieu dans Raisons pratiques"
"neg","Je propose Dr Manar Asselimi pour CE  poste de ministre delegue Il est capable de lire les messages entre les lignes des diplomates Alegeriens et des Polizario..."
"pos","pour ca que les africains resterons les africains pourquoi ne par arrêter en 6 Ministres éducation, justice, économique, agricultures et pèche, transport et infrastructure, étranger le reste est plus sur le budget de l'état et des citoyens"
"pos","Quand le discours ne peut rien changer il faut passer à l'application de loi et mettre les responsables devant leur responsabilité. A cause de l'impunité des coupables devant le peuple et la punition sévère et incompréhensible des innocents qui ont juste crié de douleur le Maroc est dans un rivage dangereux. Que Dieu nous protège!"
"pos","The parlement just to show you have democracy.come on people you know better."
"pos","À quand un ministère de la pâtisserie?1"
"pos","Il repete les memes discours ces partementaires ne representent persone. Ils sont la pour donner la legitimite a ce monsieur. S il veut exercer ces pouvoirs selon la constitution marocaine il a Le pouvoir de dissoudre le parlement qui  fait pas ces fonctions. Rien ne va changer parce que le peuple est hors jeu. Le Maroc est un pays sous developpe"
"pos","ces gâteaux Messieurs appartiens au peuple Marocain mangez bien mais pour certains ça sera la dernière foie  BOU YA OMAR"
"pos","Je ss d'accord avec toi cher ami."
"pos","Souhaitons le. C'est déjà une reconnaissance qu'il y a un laissé aller et de l'anarchie totale dans tous les secteurs. On en a marre."
"pos","IL FAUT QUE L ETAT SOIT FERME POUR TOUTES LES PUNITIONS ET SANS EXCEPTION IL FAUT AFFICHER LES NOMS DES FAUTIFS ET LES PENALITES ENCOURUES PAR CES DERNIERS LA FERMETE DOIT ETRE PRESENTE DANS TOUS LES SERVICES ET ADMINISTRATIONS  CIVILES ET MILITAIRES IL FAUT PRENDRE EN CONSIDERATION LES DECISIONS DE MR EL HAMMOUCHI ET SA FERMETE ET INPARTIALITE LE FAUTIF DOIT ETRE PUNI SEVEREMENT LES REVOCATIONS ET LES POURSUITES JUDICIAIRES DOIVENT ETRE PRESENTES A LONGEUR DE JOURNEES TOUS LES JUGEMENTS DOIVENT ETRE MIS A JOUR ET EXCECUTES EN URGENCE"
"pos","Les marocains veulent aussi leur part de pfosfates et de l or pour gouter au moin une fois dans la vie"
"neg","Discours que lHitoire retiendra vive SA MAGESTE"
"pos","Les pauvres marocains ont besoins des actes, un vrai changement, la répartition des biens entre riches et pauvres et la justice sera établie"
"neg","Nice speech ,but Zagora first!"
"neg","quand esr ce que les marocains ont manifeste leur collere contre la corruption pas une fois. la nanif d'Al houssima non pas dutout. Elle avait d'autres objectifs. Alors la ferme ou abstenez vous de corrompre pour obtenir les choses des autres."
"neg","et bien le president de la commune d oujda est ce que tu a compris le discours DE SM LE roi...... hay ancien combattants a lazaret plus de 50 ANS LES TROTTOIRS NON BETONNE LES ORDURES PARTOUT SURTOUT A COTE DU SOUK ET LE DISPENSAIRE"
"pos","le roi a dit clairement dans son discours .les incapables doivent démissionné .alors rien de nouveau"
"pos","ACTUELLEMENT LE PROBLEME DU PJD EST MR BENKIRANE (PRESIDENT 2 FOIS) QUI DOIT QUITTER SON POSTE LE PROCHAIN SEMINAIRE DU PJD POUR LAISSER LE POSTE A UN NOUVEAU JEUNE CADRE la solution est tres simple"
"pos","Tu n'as pas honte. Vraiment un machiavel. Tu n'es qu'un menteur. Les marocains ont découvert vos manoeuvres diaboliques.nous attendons tes larmes comme d'hbitude. Que tu ailles au diable toi et tes moines al fizazi, bahamad, najjar...vous netes que des charlatans maudits, hlaykia"
"pos","je te dis a si benkiran votre place est à jamaa elfna;tu est qu'un moharij;"
"pos","pour éteindre ce feu il faut juger certains responsables voyous et libérer les innocents immédiate et leur présenter l excuse et leurs donner les médailles, sinon notre pays continuera dans le sous développement"
"pos","si c pour la corruption il faut le faire de même pour tt il ya du vol partout et pas uniquement à Hoceima;on va rien faire c que de la poudre aux yeux,parce que les corrompus de Hoceima vont revendiquer a traduction en justice pour tt le monde et si on fait ça 90/100 vont être derrière les barreaux et c impossible"
"neg","3la slaaamt notre Majesté le Roi Mohamed VI Que Dieu l'Assiste. et bon rétablissement inshallah."
"pos","grandes multinationales du commerce internationales sont des boites israelienne .on mange leur produit et on critique leur politiciens .on est fort dans les blabla"
"pos","Se sont les Palestinians qui enseignent le Maroc sans son territories du sud! Arretez s'ils vous plait! Les juifs Marocains sont des Marocains.aparentiere"
"pos","les socialistes du monde entier sont des hypocrites sans égal , ce Mr a été reçu officiellement au Maroc , pourquoi ce parti ne s'est pas manifesté , et n'ont même pas fait une sortie de presse à travers leur Journal Itihad Chtiraki , c'est maintenant qu'ils fassent la démonstration de force"
"pos","Je soutiens à 100/100 le respectable ministre des affaires etrangeres.C'est une reichesses pour notre pays.ces representants du syndicat d'obedience arabo-baathiste n'ont qu'à s'occuper de leur problemes en commençant par le changement de leur secretaire general."
"pos","Arretez vos conneries et de se moquer des gens Israel est un pay démocratique et fort Prenez exemple d eux"
"pos","Vous êtes pas d'accord pour les israéliens qui soutiennent notre problème au Sahara. Et vous dites rien sur nos(frères) qui nous emmerdent depuis plus de 40ans bravo."
"pos","JE PREFERE VOIR UN MAROCO- ISRAELIEN AU MAROC QU UN MINISTRE ALGERIEN ENNEMI DE NOTRE CAUSE NATIONALE SOYEZ LOGIQUES CES SYNDICATS"
"pos","Les israeliens ne sont pas des personnes surhumaines ils sont des individus qui travaillent étroitement en groupe en faisant primer leur cause sur toute chose, beaucoup croient que les israeliens sont un peuple super intelligents; c'est faux .. J'ai eu l'occasion de travailler avec des isralliens j'ai constaté qu'ils sont des gens normaux ayant un principe différent si on les comprend on peut les dompter en utilisant notre logique comme repère le problème c'est que certains membres du parlement sont des gens simples qui ont acheté leurs sièges en achetant des voix, des personnes ayant le quotient intellectuelle très bas, qui n'ont pas confiance en eux même.  Merci Hespress."
"pos","le parlementaire doit accepter d'avoir sa reraite dés l'age légale de la retraite comme les autres marocains. s'il décide de la voir dés son départ c'est du vole. et c'est sure que leur caisse va échouer. Alors c'est à eux d'organiser leur loi mais ils doivent pas toucher l'argent du peuple."
"pos","j'espère que AL OTMANI arrête ce massacre ."
"pos","Autre qu'il faut eliminer la retraite ,encore il faut diminuer le nombre des parlementaires qui est enorme sans resultat.Revoir aussi la grande retraite des ministres incomprehensible."
"pos","un bon point pour le PJD , souhaitons la suppression définitive des retraités des députés , suivi par celle des ministres , du fait qu' elle ne sont pas légales"
"pos","Le Parlement marocain ne sert à rien n'a aucun pouvoir"
"pos","La solution c’est de proposer au peuple marocain un referendum et je prédis que le résultat serait NON à la retraite auxquelles ont droit les parlementaires et les ministres. Pitié pour la plupart des marocains qui triment pour peu. Merci"
"neg","alors monsieur Benchamas si vous rencoteriez le groupe des parlementaires sionistes est ce que vous allez les saluer ???? vraiment je ne sais pas qu' est ce que vous avez en commun avec ces sionistes que vous avez invité au parlement! !!!!!!!!!!????????"
"neg","alors monsieur Benchamas si vous rencoteriez le groupe des parlementaires sionistes est ce que vous allez les saluer ???? vraiment je ne sais pas qu' est ce que vous avez en commun avec ces sionistes que vous avez invité au parlement! !!!!!!!!!!????????"
"neg","et après son décollage de salé il a atterri sur le termac de l aéroport d alger pour la meme visite"
"pos","Le Maroc doit continuer à se rapprocher des pays du BRICS car c'est en Eurasie que le centre du monde se déplacera dans les prochaines décennies."
"pos","Et Ceuta et Melilla a quand le retour"
"pos","L'affaire est du ressort de l'État espagnol .Il est préférable de rester à l'écart , de ce petit problème ; entre individus de race moitié arabe moitié autre chose. Même pas dans une réconciliation amicale .Ç à rien à atteindre ..Ç de l'entêtement pur et simple ; qui ne nous rendra que bêtise contre bêtise. A bon entendeur..."
"pos","L'Espagne est un grand pays. Elle colonisé un millier d'îles marocaines jouxtant nos côtés.  Il serait bien pour le Maroc qu'il balayé d'abord devant ses portes."
"neg","It’s simple .  ALLAH.ALWATAN.ALMALIK"
"pos","Le Maroc perdra la province du Sud par sa lâcheté et sa soumission à l'ONU"
"pos","tout est clair maintenant, les projets comme c est cité sont lancés depuis 2ans la responsabilité l est pas du tout celle du monde de l agriculture..."
"neg","Bonne décision Bonne continuation Le maroc est que une bonne voie Bravo"
"neg","ok en va remplacer jettou par obama comme ca ca tu seras fiere. ya rif inou"
